Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_COAGULATION,0.4349062012822548,1.4648217237956809,0.006906077348066298,0.055966265446102115,0.372,35/102,11.93%,SERPINE1;F2RL2;FBN1;CTSK;MMP2;HTRA1;SPARC;DPP4;MMP14;PLAT;TIMP3;MMP11;PROS1;MMP3;PRSS23;ADAM9;FN1;ITGA2;LRP1;MMP1;C1S;TFPI2;CFH;BMP1;PLAU;MMP7;CTSE;C1R;TIMP1;RGN;CAPN5;THBS1;DUSP6;KLK8;CTSB
prerank,HALLMARK_MYOGENESIS,0.40860794634795233,1.425890423290166,0.010540184453227932,0.0745149323440711,0.487,40/149,12.88%,COL6A3;FHL1;HSPB8;COL3A1;COL6A2;ADAM12;SPARC;CDH13;COL1A1;TGFB1;NCAM1;TPM2;FKBP1B;IGFBP7;COX7A1;SPHK1;LAMA2;MAPK12;TNNI2;SGCG;MEF2C;SGCD;HSPB2;MYLK;FGF2;TAGLN;SSPN;MRAS;LSP1;RB1;SCHIP1;COL4A2;GJA5;SPEG;HBEGF;PYGM;ITGA7;IGFBP3;NQO1;SVIL
prerank,HALLMARK_APOPTOSIS,0.39779795052821004,1.4088549434467554,0.006640106241699867,0.0805145587018602,0.56,33/152,13.83%,HGF;FEZ1;PDGFRB;BGN;IGFBP6;MMP2;CAV1;LEF1;PLAT;TIMP3;TIMP2;IL18;BMP2;CCND2;FAS;F2R;DCN;TIMP1;GNA15;DPYD;SATB1;IL6;BIRC3;TGFBR3;EGR3;HMOX1;EMP1;CCNA1;SLC20A1;PMAIP1;ANXA1;CCND1;LUM
prerank,HALLMARK_NOTCH_SIGNALING,0.5146874763414491,1.4030227053642088,0.06818181818181818,0.07738761012133666,0.575,13/29,27.43%,PRKCA;HEYL;LFNG;MAML2;FZD7;JAG1;CCND1;SAP30;NOTCH1;ST3GAL6;KAT2A;NOTCH3;FZD5
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4300958116801583,1.3663523331568923,0.045584045584045586,0.10272491926659372,0.709,31/78,22.79%,INHBE;TGFB1;ITGA4;IL18R1;CSF1;IL1R1;CXCL3;TNFRSF1B;FAS;ACVRL1;IL3RA;LEPR;IL15RA;IL6ST;IL6;IL7;HMOX1;PDGFC;IL12RB1;CCR1;PIM1;OSMR;TNFRSF1A;TNFRSF12A;A2M;IL1B;TNFRSF21;IL2RA;IL17RB;EBI3;IRF9
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.350414256883266,-1.3472395948375675,0.03088803088803089,0.13462612720453276,0.384,33/108,16.10%,TFAP2B;SPRR3;GPRC5C;SIDT1;KRT4;EDN1;EFHD1;CALCB;LGALS7;EDN2;CLDN8;PRODH;TNNI3;MAGIX;NR4A2;MTHFR;SLC6A14;SPTBN2;THNSL2;LYPD3;SNCB;PTPRJ;THRB;CAMK1D;MAST3;EGF;TCF7L1;MFSD6;SLC25A23;AKR1B10;BTG2;GTF3C5;PDK2
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.3774114743252644,1.3310784127849828,0.036616161616161616,0.13103755514815324,0.818,44/158,18.02%,THY1;STAB1;BCAT1;SRGN;TGFB1;TLR3;IL10;IL11;IL18;CCND2;TLR1;CSF1;IL27RA;FAS;F2R;TLR6;TIMP1;LIF;CD4;ETS1;HCLS1;ITGB2;IL6;TAP2;IL7;HLA-DOB;HLA-DRA;HLA-DMB;LY75;IL15;DEGS1;HLA-A;HLA-DMA;HLA-DOA;SOCS5;NLRP3;IL12RB1;LYN;CCR1;TAP1;HLA-E;HLA-DQA1;CCL2;RIPK2
prerank,HALLMARK_BILE_ACID_METABOLISM,-0.3621643311082339,-1.326824837107297,0.0410958904109589,0.12445934083472987,0.439,28/86,16.45%,DIO1;AR;SULT2B1;DIO2;IDH2;ACSL1;PEX11A;GNMT;CYP46A1;FADS2;AMACR;HSD17B6;ATXN1;ALDH1A1;EPHX2;LCK;PEX7;DHCR24;PEX11G;LIPE;ISOC1;IDI1;ABCD3;SLC27A5;BBOX1;ABCA5;LONP2;PAOX
prerank,HALLMARK_MYC_TARGETS_V2,0.4219984243364561,1.2953312809933701,0.11292719167904904,0.16532524029388102,0.905,35/57,44.86%,NIP7;TCOF1;PPAN;SLC19A1;PUS1;WDR43;PLK4;RRP9;MPHOSPH10;SORD;MYBBP1A;UNG;PRMT3;IPO4;MCM4;RCL1;PPRC1;NOP2;NPM1;TFB2M;CBX3;PES1;UTP20;HSPD1;RRP12;SUPV3L1;FARSA;PA2G4;BYSL;NOLC1;RABEPK;CDK4;MRTO4;SRM;PLK1
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.4277462159269651,1.2715837595911863,0.14390602055800295,0.19074968640743012,0.956,10/45,15.06%,GCLC;HHEX;LSP1;MSRA;SRXN1;NQO1;PFKP;GCLM;PRNP;ABCC1
prerank,HALLMARK_TGF_BETA_SIGNALING,0.40464872393501594,1.2537129884479716,0.13450292397660818,0.20675091408898022,0.971,15/53,21.33%,SERPINE1;TGFB1;ENG;LTBP2;BMP2;NOG;SMAD3;THBS1;SLC20A1;SPTBN1;SMURF2;ACVR1;HIPK2;KLF10;WWTR1
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.344050948072031,1.253339587167774,0.06601466992665037,0.19532382063289966,0.971,50/194,17.39%,MSC;SERPINE1;ACKR3;TNFSF9;PTX3;LAMB3;TNFAIP6;IL18;GEM;SPHK1;BMP2;ABCA1;CSF1;GFPT2;DRAM1;CXCL3;PLAU;FOSL1;TNC;TNFRSF9;PTPRE;FUT4;TRAF1;LIF;SMAD3;IL15RA;PHLDA1;IL6ST;IL6;HBEGF;CCRL2;F2RL1;BIRC3;EGR3;SLC2A3;JAG1;PANX1;CCND1;PLAUR;G0S2;NFAT5;DENND5A;FJX1;PHLDA2;ATP2B1;CLCF1;ZBTB10;TAP1;TNIP2;CCL2
prerank,HALLMARK_COMPLEMENT,0.35018664390334525,1.2509860174339313,0.07114624505928854,0.1877818997037551,0.971,47/169,17.87%,SERPINE1;DGKG;ZEB1;CDH13;ZFPM2;SH2B3;DPP4;DOCK10;MMP14;PLAT;GNG2;ERAP2;ADAM9;TIMP2;PLA2G7;CTSC;FN1;LRP1;MMP12;C1S;TFPI2;CFH;APOBEC3F;C1R;TIMP1;CDK5R1;COL4A2;L3MBTL4;IL6;DOCK4;DUSP6;PSMB9;ITGAM;CTSB;GNAI2;CTSO;LIPA;PLAUR;C3;CPQ;LYN;CTSL;DGKH;FYN;PIM1;C1QA;PRCP
prerank,HALLMARK_FATTY_ACID_METABOLISM,-0.3160342514256196,-1.2441749180776085,0.04526748971193416,0.19514271273907377,0.634,25/134,14.57%,REEP6;HPGD;TP53INP2;HMGCS2;MAOA;TDO2;ACSL1;GLUL;EPHX1;GSTZ1;HMGCS1;NSDHL;HSD17B7;LTC4S;ALDH1A1;RDH16;CD36;CBR3;DHCR24;FASN;ACAT2;SLC22A5;ACOT2;ALDOA;IDI1
prerank,HALLMARK_PEROXISOME,-0.3319109504823236,-1.2280242056703254,0.09608540925266904,0.18705610086984278,0.667,23/91,20.38%,DIO1;CACNA1B;SULT2B1;IDH2;FABP6;ACSL1;PEX11A;FDPS;ATXN1;ALDH1A1;EPHX2;DHCR24;DHRS3;ISOC1;IDI1;ABCD3;LONP2;ACAA1;PRDX5;IDH1;ACOX1;SIAH1;STS
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.3337474094342049,1.1976708951505168,0.12656641604010024,0.2741297718394574,0.994,45/176,17.48%,NT5E;COL6A1;F2RL2;ECM1;NRP1;DRC1;ABCB1;IL10;PTGER2;IL18R1;BMP2;CCND2;ADAM19;GPR83;CSF1;TNFRSF1B;TNFRSF9;TRAF1;LIF;COCH;IL3RA;BATF3;SPRY4;PHLDA1;TWSG1;SCN9A;ITGAV;ETV4;GSTO1;EMP1;SLC2A3;MAP6;TLR7;ITGA6;PLPP1;PRNP;IGF2R;DENND5A;PLEC;GLIPR2;TGM2;SPP1;FLT3LG;PIM1;AHR
prerank,HALLMARK_ANDROGEN_RESPONSE,-0.3079632677983356,-1.1368757113727943,0.19850187265917604,0.3168741521027851,0.872,19/95,10.65%,SPDEF;HPGD;IQGAP2;AZGP1;HOMER2;NDRG1;SCD;MAP7;GPD1L;HMGCS1;SAT1;HMGCR;MAK;DBI;TSC22D1;ALDH1A3;AKT1;KRT19;DHCR24
prerank,HALLMARK_APICAL_SURFACE,0.3956055809145302,1.119249756406693,0.288135593220339,0.4457604953428167,1.0,11/37,17.67%,THY1;SRPX;NTNG1;DCBLD2;GAS1;SLC2A4;ATP6V0A4;PLAUR;AFAP1L2;LYN;SULF2
prerank,HALLMARK_PANCREAS_BETA_CELLS,-0.4233737533167413,-1.117189883328607,0.292817679558011,0.32449303505085164,0.905,4/17,11.59%,PCSK1;SCGN;STXBP1;SYT13
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.39102898284346077,1.1120572928373185,0.3001464128843338,0.4442072112946702,1.0,24/38,39.15%,WNT5B;LEF1;CCND2;FZD8;DKK1;JAG1;JAG2;NOTCH1;RBPJ;TCF7;KAT2A;ADAM17;NCOR2;PTCH1;FZD1;HEY2;NOTCH4;AXIN2;DVL2;CUL1;CTNNB1;AXIN1;TP53;WNT6
